item,phasetype,survey,max_time,text,notes,shuffle_1,shuffle_2,task_title,task_body_text,weight,
0,evie_intro,,user,Welcome,no_mobile,off,off,,,,
0,tde_survey,evie_demo.csv,user,,,off,off,,,,
0,evie_bookend,,user,Thank you!,ppt,off,off,Please let the researcher know you are ready to continue.,You will now complete a task that isn't computer based. The researcher will explain what is required of you.,,
0,evie_arcade,,user,Start Tetris,,off,Arcade1,Tetris Instructions,"<b>Thank you for completing the previous task.</b>
<br><br>You will now play the arcade game: <b>Tetris</b>. In the centre of the screen you will see a box, within which different shaped blocks will fall from the top. You can rotate the falling block using the up-arrow key or moved it horizontally using the left- and right-arrow keys. If you wish to increase the speed the block falls at, press the down-arrow key. The aim of Tetris is to gain as many points as possible, by aranging the falling blocks so they complete a row. Each complete row you create will increase your score and for every 1000 points scored, the speed that the blocks fall will increase. Completed rows will disappear, providing more space to organise the shapes. If the blocks grow to reach the top of the box it's 'Game Over' but don't worry, you can simply a new game and try again.<br><br>On the right side of the game area, your score will be displayed along with the next shape that is going to fall. To pause the game, press the letter ‘P’ on the keyboard, however, this will not pause the timer. It just stops the shapes from falling. <br><br>This game will last for 5 minutes and a timer (displayed at the bottom of the screen) indicates how long you have left. Once the timer runs out, the task will end, and you will automatically be taken to the next screen.<br><br><div style=""  max-width: 545px;  margin: 0 auto 16px auto;  padding: 10px 12px;  background: #f1f5ff;  border-radius: 10px;"">  <div style=""font-weight:700; margin-top:10px; margin-bottom:15px;"">🏆 High Scores (Research Team)</div>  <div style=""display:flex; flex-wrap:wrap; gap:8px;"">    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥇 Rich <b>5,600</b></span>    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥈 Chris <b>5,200</b></span>    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥈 Evie <b>3,700</b></span>    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🎮 Phil <b>2,900</b></span>  </div>  <div style=""font-weight:700; margin-top:10px;margin-bottom:6px;"">CAN YOU BEAT US⁉️</div></div>To start playing Tetris, please press the blue start button below. Good luck and have fun getting as many points as you can!",,
0,tetris,,300,,seconds,off,Arcade1,,,,
0,evie_arcade,,user,Start Breakout,,off,Arcade1,Breakout Instructions,"<b>Thank you for completing the previous task.</b>
<br><br>You will now play the arcade game: <b>Breakout</b>. <br><br>On the next screen you will see a box in the centre that forms the playing area. At the bottom of the box, you will see a ball attached to a paddle. At the top of the box, you will see rows of blocks. Press the Spacebar to release the ball (it will travel up towards the blocks), starting the game. The ball will bounce off the blocks, destroying them, to return towards the paddle. Use the left and right arrow keys, move the paddle so that you bounce the ball off it back towards the blocks.  Depending on where the ball lands on the paddle, the angle that it bounces off changes. If the ball passes the paddle, and hits the bottom of the box, you lose a life.<br><br>You score points for each block that you break and the aim of the game is to gain as many points as possible. Your total points (and lives) are displayed at the top of the box. When all 3 lives are lost, you can restart a new game with your points reverting to 0. <br><br>This game lasts 5 minutes. A timer is visible underneath the game with the bar emptying to reflect the time remaining. Once the timer runs out the game will end, and you will automatically be taken to the next screen. <br><br><div style=""  max-width: 580px;  margin: 0 auto 16px auto;  padding: 10px 12px;  background: #f1f5ff;  border-radius: 10px;"">  <div style=""font-weight:700; margin-top:10px; margin-bottom:15px;"">🏆 High Scores (Research Team)</div>  <div style=""display:flex; flex-wrap:wrap; gap:8px;"">    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥇 Evie <b>11,300</b></span>    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥈 Rich <b>9,500</b></span>    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥉 Chris <b>9,000</b></span>    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🎮 Phil <b>6,700</b></span>  </div><div style=""font-weight:700; margin-top:10px;margin-bottom:6px;"">CAN YOU BEAT US⁉️</div></div>To start the game, please press the blue start button below. Try to see how many points you can get without losing all your lives! Good luck and have fun!",,
0,breakout,,300,,,off,Arcade1,,,,
0,evie_bookend,,user,Thank you!,ppt,off,off,Please let the researcher know you are ready to continue.,You will now complete a task that isn't computer based. The researcher will explain what is required of you.,,
0,evie_arcade,,user,Start Pac-Man,,off,off,Pac-Man Instructions,"<b>Thank you for completing the previous task.</b>
<br><br>You will now play the arcade game: <b>Pac-Man</b>. In the centre of the screen you will see a maze containing small pellets. Using the arrow keys on your keyboard, move Pac-Man around the maze to eat as many pellets as possible and score points. 

<br><br>You should try to avoid the ghosts that move around the maze. However, if you collect one of the larger flashing pellets, the ghosts will temporarily become vulnerable and you will be able to eat them for additional points.

<br><br>Your score will be displayed underneath the game area. If you lose all of your lives you can restart the game. You can pause the game by pressing the letter <b>P</b> on the keyboard; however, this will <b>not</b> pause the timer.

<br><br>This game will last for <b>5 minutes</b>. The timer is displayed in the same way as in the previous tasks, with a bar underneath the game. As the bar empties, this indicates that the time remaining is decreasing. When the bar turns red, this indicates that there is very little time left. Once the timer runs out, the task will end and you will automatically be taken to the next screen.

<br><br>
<div style=""max-width:545px; margin:0 auto 16px auto; padding:10px 12px; background:#f1f5ff; border-radius:10px;"">
  <div style=""font-weight:700; margin-top:10px; margin-bottom:15px;"">🏆 High Scores (Research Team)</div>
  <div style=""display:flex; flex-wrap:wrap; gap:8px;"">
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥇 Rich <b>8,600</b></span>
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥈 Evie <b>7,800</b></span>
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥈 Chris <b>7,700</b></span>
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🎮 Phil <b>6,700</b></span>
  </div>
  <div style=""font-weight:700; margin-top:10px; margin-bottom:6px;"">CAN YOU BEAT US⁉️</div>
</div>

To start playing <b>Pac-Man</b>, please press the blue start button below. Good luck and have fun scoring as many points as you can!",,
0,pacman,,300,,seconds,off,off,,,,
